         Type        Mean  Median        Std
0       Grass   67.271429    65.5  19.516564
1       Grass   73.214286    70.0  25.380520
2       Grass   70.800000    66.0  24.485192
3       Grass   77.500000    75.0  27.244864
4       Grass   70.428571    66.0  21.446645
5       Grass   61.928571    58.5  28.506456
6        Fire   69.903846    70.0  19.404123
7        Fire   84.769231    84.5  28.769275
8        Fire   67.769231    64.0  23.658200
9        Fire   88.980769    85.0  30.042121
10       Fire   72.211538    67.5  22.619908
11       Fire   74.442308    78.5  25.245783
12      Water   72.062500    70.0  27.487026
13      Water   74.151786    72.0  28.377192
14      Water   72.946429    70.0  27.773809
15      Water   74.812500    70.0  29.030128
16      Water   70.517857    65.0  28.460493
17      Water   65.964286    65.0  23.019353
18        Bug   56.884058    60.0  16.328914
19        Bug   70.971014    65.0  37.040904
20        Bug   70.724638    60.0  33.617609
21        Bug   53.869565    50.0  26.697055
22        Bug   64.797101    60.0  32.126395
23        Bug   61.681159    60.0  33.227599
24     Normal   77.275510    70.0  36.233430
25     Normal   73.469388    70.5  30.295862
26     Normal   59.846939    60.0  23.771833
27     Normal   55.816327    50.0  23.946395
28     Normal   63.724490    60.5  25.142801
29     Normal   71.551020    71.0  28.406157
30     Poison   67.250000    67.5  19.665019
31     Poison   74.678571    74.0  19.630010
32     Poison   68.821429    67.0  21.066128
33     Poison   60.428571    60.0  19.322657
34     Poison   64.392857    60.5  19.887348
35     Poison   63.571429    62.5  22.631392
36   Electric   59.795455    60.0  17.306511
37   Electric   69.090909    65.0  23.764169
38   Electric   66.295455    65.0  24.757033
39   Electric   90.022727    95.0  29.740340
40   Electric   73.704545    79.5  22.601275
41   Electric   84.500000    88.0  26.691607
42     Ground   73.781250    75.0  25.662492
43     Ground   95.750000    85.0  33.059087
44     Ground   84.843750    84.5  33.786912
45     Ground   56.468750    47.5  28.135598
46     Ground   62.750000    62.5  21.267877
47     Ground   63.906250    65.0  27.450083
48      Fairy   74.117647    78.0  23.587291
49      Fairy   61.529412    52.0  29.751298
50      Fairy   65.705882    66.0  18.979478
51      Fairy   78.529412    75.0  28.548462
52      Fairy   84.705882    79.0  29.721130
53      Fairy   48.588235    45.0  23.305200
54   Fighting   69.851852    70.0  25.852695
55   Fighting   96.777778   100.0  28.290163
56   Fighting   65.925926    70.0  18.578163
57   Fighting   53.111111    40.0  28.159345
58   Fighting   64.703704    63.0  22.745777
59   Fighting   66.074074    60.0  26.054567
60    Psychic   70.631579    68.0  28.421340
61    Psychic   71.456140    57.0  42.309265
62    Psychic   67.684211    65.0  28.359401
63    Psychic   98.403509    95.0  38.539340
64    Psychic   86.280702    90.0  31.126329
65    Psychic   81.491228    80.0  37.335412
66       Rock   65.363636    68.5  20.833884
67       Rock   92.863636    95.0  35.325458
68       Rock  100.795455   100.0  36.447209
69       Rock   63.340909    60.0  28.249670
70       Rock   75.477273    70.0  32.265965
71       Rock   55.909091    50.0  29.903580
72      Ghost   64.437500    59.5  31.685895
73      Ghost   73.781250    66.0  29.629687
74      Ghost   81.187500    72.5  32.551138
75      Ghost   79.343750    65.0  32.561217
76      Ghost   76.468750    75.0  26.038414
77      Ghost   64.343750    60.5  28.020280
78        Ice   72.000000    70.0  21.286861
79        Ice   72.750000    67.0  27.289511
80        Ice   71.416667    75.0  34.387708
81        Ice   77.541667    77.5  26.604967
82        Ice   76.291667    70.0  37.213227
83        Ice   63.458333    62.0  24.498410
84     Dragon   83.312500    80.0  23.795415
85     Dragon  112.125000   113.5  33.742622
86     Dragon   86.375000    90.0  24.102938
87     Dragon   96.843750   105.0  42.257360
88     Dragon   88.843750    90.0  29.884843
89     Dragon   83.031250    90.0  23.239961
90       Dark   66.806452    65.0  21.078297
91       Dark   88.387097    88.0  25.774247
92       Dark   70.225806    70.0  25.121982
93       Dark   74.645161    65.0  33.200952
94       Dark   69.516129    65.0  24.799020
95       Dark   76.161290    70.0  27.768203
96      Steel   65.222222    60.0  16.044010
97      Steel   92.703704    89.0  30.388276
98      Steel  126.370370   120.0  44.806548
99      Steel   67.518519    55.0  31.458606
100     Steel   80.629630    80.0  29.018758
101     Steel   55.259259    50.0  25.846578
102    Flying   70.750000    79.0  20.694202
103    Flying   78.750000    85.0  37.500000
104    Flying   66.250000    75.0  21.360009
105    Flying   94.250000   103.5  34.769479
106    Flying   72.500000    80.0  22.173558
107    Flying  102.500000   116.0  32.098806
